ID,Title,ShortTitle,SubjectType,ControlType,IsDistant,Departments - DepartmentId → ID,Departments - DepartmentId → Title,Faculties - FacultyId → ID,Faculties - FacultyId → Title,SemesterSeasons - SemesterSeasonId → Year,SemesterSeasons - SemesterSeasonId → Season
2023,Компьютерные технологии в разработке электронных устройств,КТвРЭУ,Лек,Экз,false,32,каф.ФЭТ,2,ФЭЛ,2023,autumn
2024,Теория принятия решений (Decision Theory),ТПР(DecTh),Пр,,true,23,каф.РАПС,4,ФЭА,2023,autumn
2025,Теория принятия решений (Decision Theory),ТПР(DecTh),Лек,ЗчО,true,23,каф.РАПС,4,ФЭА,2023,autumn
2026,Анализ больших данных,АнБД,Лек,,true,6,каф.ВТ,3,ФКТИ,2023,autumn
958,Методы обработки и анализа медицинских изображений,МОиАМИ,Лек,Экз,true,27,каф.ТВ,1,ФРТ,2023,autumn
2029,Комьюнити-менеджмент и ORM,КМиORM,Пр,ЗчО,true,26,каф.СО,7,ГФ,2023,autumn
4160,Статистический анализ,СтатАн,Лек,ЗчО,false,5,каф.АМ,3,ФКТИ,2024,autumn
2030,Презентация высокотехнологичного проекта: техники создания и представления,ПВПТСиП,Пр,,true,26,каф.СО,7,ГФ,2023,autumn
2031,Презентация высокотехнологичного проекта: техники создания и представления,ПВПТСиП,Лек,Экз,true,26,каф.СО,7,ГФ,2023,autumn
2032,Коммуникационное продвижение медицинcких технологий на рынке B2C,КПМТнB2C,Лек,ЗчО,true,26,каф.СО,7,ГФ,2023,autumn
2033,Коммуникационное продвижение в сфере медицинских технологий на рынке B2B,КПвСМТнB2B,Лек,ЗчО,true,26,каф.СО,7,ГФ,2023,autumn
2038,Основы теории перевода,ОснТеорПер,Лек,Экз,true,9,каф.ИНЯЗ,7,ГФ,2023,autumn
2039,Язык Python как среда для математической обработки данных,Я_Python_дМОД,Лек,ЗчО,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
2040,Основы программирования на языке Ассемблера,ОснПрЯзАсс,Лек,ЗчО,true,58,каф.ИБ,3,ФКТИ,2023,autumn
2041,Управление данными,УпрДанн,Пр,,true,2,каф.ИС,3,ФКТИ,2023,autumn
2042,Управление данными,УпрДанн,Лек,ЗчО,true,2,каф.ИС,3,ФКТИ,2023,autumn
2043,Бережливые технологии в менеджменте качества,БТвМК,Лек,Экз,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2044,Оперативно-производственное планирование и прогнозирование,ОППлПр,Лек,Экз,false,19,каф.ПЭ,6,ИНПРОТЕХ,2023,autumn
2045,Информационная безопасность цифровых трансформаций,ИнфБезЦТр,Пр,,false,58,каф.ИБ,3,ФКТИ,2023,autumn
2046,Информационная безопасность цифровых трансформаций,ИнфБезЦТр,Лек,ЗчО,false,58,каф.ИБ,3,ФКТИ,2023,autumn
2048,Технологическое предпринимательство,ТехнПр,Лек,Экз,false,44,каф.ЭТП,6,ИНПРОТЕХ,2023,autumn
2049,Оценка соответствия и аудит,ОцСиА,Лек,Экз,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2050,Оценка соответствия и аудит,ОцСиА,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2051,Экологическая безопасность и ответственность бизнеса,ЭкБезОтвБ,Лек,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2052,Экологическая безопасность и ответственность бизнеса,ЭкБезОтвБ,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2053,Энергосбережение и повышение энергетической эффективности предприятия,ЭнСбПовЭЭП,Лек,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2054,Эффективность управления технологическим оборудованием производственных систем,ЭУТОПС,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2055,Эффективность управления технологическим оборудованием производственных систем,ЭУТОПС,Лек,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2056,Энергосбережение и повышение энергетической эффективности предприятия,ЭнСбПовЭЭП,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2057,Лидерство в бизнесе,ЛидБиз,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2058,Лидерство в бизнесе,ЛидБиз,Лек,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2059,Этика и этикет в деловой среде,ЭиЭвДС,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2060,Этика и этикет в деловой среде,ЭиЭвДС,Лек,Зч,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
