ID ЛК,НомерЛД,Иностранец,Курс,finans,status,Уровень образования,Форма образования
318424,310618,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318425,330618,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318427,350618,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318432,240618,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318433,260618,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318434,830518,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318435,840518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318436,860518,False,4,Контракт,Отчислен,Бакалавриат,Очная форма
318437,870518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318443,940518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318444,950518,False,5,Бюджет,Учащийся,Бакалавриат,Очно-заочная
318445,960518,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318447,990518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318448,1000518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318449,1030518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318455,1090518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318456,1110518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318457,1120518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318458,1130518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318459,1140518,False,2,Бюджет,Академический,Магистратура,Очная форма
318461,1160518,False,1,Бюджет,Отчислен,Магистратура,Очная форма
318464,1220518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318465,1230518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318470,1310518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318476,1390518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318481,1440518,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318484,1490518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318485,1510518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318486,1520518,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318490,1570518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318493,1620518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318494,1630518,False,2,Бюджет,Академический,Магистратура,Очная форма
318495,1640518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318498,1670518,False,4,Контракт,Учащийся,Бакалавриат,Очная форма
318501,1710518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318504,1770518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318506,1790518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318508,1810518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318509,9950622,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318509,9950622,False,2,Контракт,Отчислен,Магистратура,Очная форма
318517,1900518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318518,1910518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318519,1920518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318521,1940518,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318522,1950518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318523,1960518,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318524,1970518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318526,2010518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318527,2030518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318528,2050518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318529,2160318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318530,2200318,False,1,Бюджет,Отчислен,Магистратура,Очная форма
318535,2270318,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
318537,2290318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318540,2320318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318541,2330318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318543,2350318,False,1,Контракт,Учащийся,Магистратура,Очная форма
318544,2360318,False,3,Контракт,Отчислен,Бакалавриат,Заочная форма
318545,2370318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318547,2390318,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318548,2410318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318550,2460318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318553,2500318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318554,2510318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318560,3200318,False,1,Бюджет,Отчислен,Магистратура,Очная форма
318561,3210318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318568,3300318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318569,3310318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318581,3480318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318583,3500318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318584,3520318,False,2,Бюджет,Академический,Магистратура,Очная форма
318589,3620318,False,3,Контракт,Учащийся,Бакалавриат,Заочная форма
318599,3760318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318600,3770318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318601,3780318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318602,3800318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318605,3840318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318606,3870318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318611,3960318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318613,3990318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318614,4000318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318623,4110318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318625,4140318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318626,4150318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318630,4190318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318633,4230318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318636,4280318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318639,4330318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318642,4360318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318643,4370318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318644,4380318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318646,4400318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318648,4450318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318649,4460318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318651,4480318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318654,4510318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318655,4530318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318658,4570318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318663,4630318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318664,4640318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318665,4650318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318668,4690318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318669,4730318,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
318672,4780318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318673,4790318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318674,4800318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318675,4810318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318677,4830318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318681,4880318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318684,4940318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318686,4970318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318688,4990318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318691,5030318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318692,5060318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318696,5100318,False,3,Бюджет,Учащийся,Бакалавриат,Очная форма
318697,5110318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318698,5120318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318700,5140318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318703,5190318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318708,5290318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318709,5310318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318713,5350318,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318716,5390318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318718,5410318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318722,5450318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318724,5500318,False,4,Бюджет,Отчислен,Бакалавриат,Очная форма
318725,5510318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318727,5530318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318728,5540318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318733,5630318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318738,5730318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318740,5770318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318741,5800318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318747,5910318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318748,5920318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318753,6020318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318754,6030318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318757,6100318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318759,6120318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318761,1640318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318762,1650318,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
318766,1690318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318770,2560318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318771,2570318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318774,2600318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318775,2610318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318776,2630318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318777,2640318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318779,2660318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318781,2680318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318782,2700318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318783,2710318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318784,2720318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318785,2730318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318786,2740318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318787,2750318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318788,2760318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318791,2820318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318792,2850318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318794,2880318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318795,2900318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318796,2910318,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
318797,2920318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318798,2940318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318799,2950318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318802,2990318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318803,3010318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318805,3030318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318806,3040318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318807,3050318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318808,3060318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318809,3070318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318812,3110318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318813,3120318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318814,3130318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318815,3140318,False,6,Бюджет,Учащийся,Специалитет,Очная форма
318816,1750318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318817,1780318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318818,1800318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318819,1810318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318820,1830318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318826,1910318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318827,1930318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318828,1940318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
